repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
01-ai/Yi-34B	e1fa7c83283f2e1d5a12cb4adea37c3f829e28f8	quick	3560486	18da9ff3421e5c878bd223ce42316058c0bdf688c114aa57e469ed5b91b4c3bc	ok	9d884029493d59da6df3859c22efc0f37a755fa900be5545cc74da011bdfe3ce	-
5CD-AI/visobert-14gb-corpus	7d5ed039a28744157117d8907b31ac66fff09b13	full	1095541	85f93de7ed769a5f4050992d9e0637e53d17fbe0b8755379236d2459dca70b66	ok	622aaa426cadf65e046a5457b2ab06aa39bb777a45af91a1597c30ae08ed5140	-
aari1995/German_Semantic_STS_V2	22912542b0ec7a7ef369837e28ffe6352a27afc9	full	729314	e9182e8048a395773cfacf5b98919173166c8171c01b5a4cda5c1788eecc4316	ok	6f47df12983317f7297de47da12de95a42e7540f17ab6ef9bcfe7164910ab50a	-
AbelZimba/whisper-bemba-stt	684798370177f4332db4bc4895ff15d896e17603	full	3930494	7b469ff15eb7816315aa45eec391f5943d639b9d73d110f5c003df5192fd54e3	ok	811ed4029605260363df4433085ab43769ff8c0ea2fda23c88ffa2f1964deef1	-
adibvafa/CodonTransformer	9744dcc920d813066391fc828d7a590207f148e8	quick	4444	ed67da0846097c8ea4425c4b84fb31c18cbfb52fde30813109a0d8d32a40217b	ok	4c76684ef544a32a00341b00903ebe7d3c9205720f19593f52840b62ddc97420	-
ahmedrachid/FinancialBERT-Sentiment-Analysis	656931965473ec085d195680bd62687b140c038f	full	463953	780a924160bb718e8bb90bfc9077f6deb912b9b3f1c5a77c59aea29e223bc5f0	ok	48706bcf75d15d0ff7496bf980c4427a46f6c2c8e3e5fd3c6313391c33ce830a	-
ahujaniharika95/tinyroberta-squad2-finetuned-squad	f77b0bb37f9aa05439b0c8499e23183420743a81	full	2108856	e73f3dacd1e1b9b8a63420bfea3da522b3989946847feefcca400687897d8148	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
ai-forever/FRIDA	850455b605544a944739b25f81ddf812b6e3d0d5	full	5592981	fad60ebecad875f146cac79ab7774047b9896a050bd6a1ed4362bfbdb0ffb503	ok	ea93538c4ce05132b9ec5ec85765d11b762d89193edd6384a7f0d19ad6a26422	-
ai-forever/ru-en-RoSBERTa	89fb1651989adbb1cfcfdedafd7d102951ad0555	full	5986394	831a3792acf9df1bfe54b3223737aa0292308998f557e716d358d88d0167b472	ok	92bc75af70b354450363836a4d3498439ab7e8d587662af326791b628d086755	-
ai-forever/sbert_large_nlu_ru	89deeaa197d9d146e5763ac1f5fe32bf66817126	full	3714602	fe9c4825b72936c65d0eed88ce38badf4e387846728109f499e25d592c6db61c	ok	c9473c08eb2f995eec7697aee012ba86058ec7d591367d23c350a385a65a7fc6	-
ai-sage/Giga-Embeddings-instruct	2cf0fdc97194aaedf10ac0e6bf798834acd31042	full	10728325	0ec0a1cffcc9192f5ee3d7b273673a062918055238bda3d23cfb6d2512e947ff	ok	4fa458238d6817d7ba770fd48aa33d632de6b87a451a36358115b1b88f3e4c38	-
ai21labs/Jamba-v0.1	9efd11575ba791d9e3d25d4c8b670e78506b2df7	full	4242082	168522c4bc2db021984eb9ec0534b2421adee443b7fc038ed2ff8c36e934096a	ok	662c15a3e18e966805dcd4ebbc5b454de7c687b2b220f0c4805fb483f4511082	-
akdeniz27/bert-base-turkish-cased-ner	99995f7d2be4b3a28c74f0d36ee97f8c04ee0571	full	497438	9fe651b08086b38c51e2dece708586ecaadc8b7ad876eba6a6cccbcb24a9f95a	ok	75fd6dfe84ea1424c84111c82b19cc7cafd95fbd4ed61fab8e5bc03381ff3722	-
albert/albert-base-v2	8e2f239c5f8a2c0f253781ca60135db913e5c80c	quick	1312669	6e2aa3d5ca4c6841bc36a5028179cb4d63c129931fa18fce38fdb38cec4d2ac3	ok	6b798a62547a68b1841ee33b51916762fb8297701e7b0c93478c1e3794058963	-
alexandrainst/scandi-nli-large	0dd119b11f28ce7cf780429ea4ca86e5c0faa7f9	full	1186843	469370463ae61ea43ecc415991a008e2417b33349f9091e44658cc4933d0b50c	ok	ed290ae8ec25c59fc50873ff3326642aaab9f1cdf12bab24c23fb9cbde6433c0	-
allenai/OLMo-2-0425-1B	a1847dff35000b4271fa70afc5db10fd29fedbdf	full	7137177	73fd5254624f39a88e3faac6a8e11300fc3c735ed37880d4f4f08db898eaecca	ok	454d8cc77de65fb556074b684296d186f63d0dc22196824056b98a8bb1e9df20	-
allenai/specter2_base	3447645e1def9117997203454fa4495937bfbd83	full	716830	fcd3fffca5d8fcc0d5863406f5f491293c1e4658ed503f424a30324b70533c0d	ok	3c46e2e65d92b537b9d8b38a35663ff4c703b5d88383f092bffad9deb1de28da	-
almanach/camembert-base	a75967561c78f2aa81cc41045378d3b4ee25af9e	full	1395301	94e041bf917a884207001cc0758f393b2cdcc4a6d24fdc8b2339a83dd47c9218	ok	18f1601c07a81ca7cc0b20210aea06706ef3d714e3b5fc7100d86c42caccb2e5	-
anas-awadalla/bert-tiny-finetuned-squad	a40bd3413dd077c303653a88626b66b73de0ee04	full	711661	88288f3bbc81d03d5cc31434d30f8bd3c80771c9875a75fa763d167a8e34889e	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
answerdotai/ModernBERT-base	8949b909ec900327062f0ebf497f51aef5e6f0c8	quick	2132967	9fd55248d51d33976b324fc11592e28071da7d41e0e9401dfb7082e30574b7b1	ok	1abf56beee98838db34420294505953c55e2f2a9fd2060c54ec078a9d6823c16	-
aubmindlab/bert-base-arabertv02	016fb9d6768f522a59c6e0d2d5d5d43a4e1bff60	full	2642362	d9797bf02285035bba059782638b8c0aa130b7c2ca2d5dc2c30327586b3c773d	ok	a9ff1f27f38711c13081b126accb4f64e38ed2ce9a92bcc1753affe72114dad4	-
aubmindlab/bert-base-arabertv2	97522efce17efa33036ac619802d5cec238dcad9	full	2306039	0ed16c2227882b6db87ce35947404b2b62b5d795ef2338781e944ba5d782fd08	ok	807b1f4f85f9e5ff1672464c760cccd1dcf07bc13864d46c1f0ee1014ad04833	-
Audio8/ARK-ASR-3B	1e28271b79edc97635783bea65abc89195a09ed3	full	11422866	bc63972a406328b950c3dea5f64994846a95e444609657d440f0f2ecc4721b32	ok	ebc9fda176829a0763975768800088d09be2320684e8709577c66799481dad2a	-
AungMoonLord/bert-log-anomaly-detection	9ece304f330c8fa08a9ba825fd3d1adcf746aaf6	full	711661	cb374d6bc042c22455946f4e09a89d29882a199fdaf8fb25be00dc8b8857a448	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
BAAI/bge-en-icl	971c7e1445cc86656ca0bd85ed770b8675a40bb5	full	1796320	1553b589b62de31b3a572262ceac59d6d9033f751c879a7f3670a454beb8a7d9	ok	e6e1c80376f0d74d7f3ac377d9a5b2f80fdf9d3a07e37f7b4f242c02af54a3ea	-
BAAI/bge-large-zh-v1.5	79e7739b6ab944e86d6171e44d24c997fc1e0116	full	439124	7dfbf1966ebf99d471c3796e9b457329d2b2182b817e144f1e904b957745c839	ok	49c3ad7eb418d4a38c6f118a66f4221501c1459fd195cbb6d69132652b5217cd	-
BAAI/bge-m3	5617a9f61b028005a4858fdac845db406aefb181	quick	17098108	21106b6d7dab2952c1d496fb21d5dc9db75c28ed361a05f5020bbba27810dd08	ok	d76165a55f6bc564b7bc2c625c43b0969767c8f339feb50c89adc3a812cdb104	-
BAAI/bge-reranker-v2-minicpm-layerwise	47b5332b296c4d8cb6ee2c60502cc62a0d708881	full	6202715	42f73d01995bd71c88647b13ac696b36d84d5126d0c7cbaef6f8d872d5c97dff	ok	c328e07b80589ec89abbb283632d3a047876008bb2a13049233fdf5c3d50112b	-
BAAI/bge-small-en-v1.5	5c38ec7c405ec4b44b94cc5a9bb96e735b38267a	quick	711396	d241a60d5e8f04cc1b2b3e9ef7a4921b27bf526d9f6050ab90f9267a1f9e5c66	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
BAAI/bge-small-zh-v1.5	7999e1d3359715c523056ef9478215996d62a620	full	439125	48cea5d44424912a6fd1ea647bf4fe50b55ab8b1e5879c3275f80e339e8fae26	ok	501bec70358bed61b85dc07cc0999a8b349d2fbbe1765a4898f32f699db97640	-
BAAI/llm-embedder	c3e8ac86ff4859012570d6b59341fe67b88e55ad	full	711649	851ca67100d372ca3ae031a6abd168f53489eebfd7d89523f35c5c9b4d372c3c	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
Babelscape/wikineural-multilingual-ner	bed6ee7a45d2827b6c90a4fd7983f0241ae0a5c1	full	1961898	511a5c79d1bf8fa398ca411a9ca9b57285e5d77ed3950a4f94751f3951f46966	ok	0d833174ceb4196a1b305ea666e42259b94d9a64373c43847eef0e8a60de584a	-
batterydata/batterybert-cased-squad-v1	f420944bc55b1d1d81112df9ca8609c33578693a	full	435982	a96db3ea2d6d51323d062d08cd702b56c062aa9da46ac90b208442c29aa2a7f4	ok	23914830035d2321f270318b6677362303ccdafbf3c7debfb563b7d0ba18afc5	-
bespokelabs/Bespoke-MiniCheck-7B	1ed7786bcda3fa1dc35f7c4ed9e3f36b785d33b8	full	5789884	ebe05e4502ecafdd74cc7604fe5bf5bacfd8aec0395fad8b5537e2fdd5111f2a	ok	9bd5194c70ab820ee356af2db31be281d9612c4ca480e164919984fc5dbcf765	-
bhadresh-savani/bert-base-uncased-emotion	04e32b0ce2cd9c6cc36daffabeda36857058da63	full	466248	8bda42804d6482ceb0ff022760f15e8e7eea7367062e9bbc48d05ffee1eb873e	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
biohub/ESMC-6B	45b0fa5d7fb06faefbd5e3b89bdcef35d564e79a	quick	2879	8d3447b278176e65fb3ef0224472927bf5fee3be46ea2bd77fad0111423cee1f	ok	7c80e59c94f1bc13f5690bef055ae310729ff1e99c1ddabe0d8d6f448251a1b5	-
boboliu/Qwen3-Embedding-4B-W4A16-G128	9da6cb71a6870e7400988f01ad95d326e8c98097	full	11423046	dbc7d8c84cd6c1f8d5f5fb73da0619a4128634ec7d22999dfd711e32036ac48a	ok	2c24a527126adbf149b5a9c7dc783ccb688afe268b1c2b040c0246245b392247	-
boboliu/Qwen3-Reranker-4B-W4A16-G128	84d3701aa6a3a7e581389c666ec340f91e7936c6	full	11422753	5cfec206b0dee9530742d15be2542677101c7c8e7bf68c20c4e5178e0e30a58a	ok	b2cb108c603ebdc73605fb1dcac2c2a375bc74086b69d8927c5a9f1ae04f86d6	-
ByteDance-Seed/Seed-X-PPO-7B	6ef78fc034ec86c0036d7a7ca2bfc24607f48050	full	2853156	35e68fc21e58581cff0ff98d9ca54fccbd8d0f0dd72c05a5bca8510eaf072ee1	ok	4a2b1c7af04dea458295f8b7adecf7c50f84bf08a8646a20afb98311a74b6e24	-
ccdv/lsg-bart-base-4096-arxiv	82ef60533e8c50906d8047fa794b9210edc3f6f9	full	2108812	9526f2d61678fd2824d84023d9ca00b27f8056e773affdd33b3225cd18e137ec	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
Chain-GPT/Solidity-LLM	06a8d62b138a88c7bdae013b57a3b1b05ceb8d63	full	3564952	427eb3f053e964b800abf442a9da36464018bf26cf107ea6809d01bac7ce8860	ok	0282f0371e751b6dd0f1e5d9a0185d7a562b42366dfb5756ac7e0755e0d6a7ec	-
chuhac/BiomedCLIP-vit-bert-hf	c44fed22e30460c0ea1b033a41b68fdab375d64c	full	679168	defc1f91456606e7847af3a2fb4a8abb96441423aa5407a52498395ea68327ff	ok	13be4c1a12f5cff32cb7f22a12c7779b89f732a57356f47541ca47eba5ec7378	-
circulus/koelectra-polite-v1	46a101d9780b90bfb1755fcc89bc06b0ea46f806	full	815115	c34933093b6d985e2418bef0d88f927ddbda4694616b56d5f9220991073f6e5d	ok	df517ae25c55e37c3e23fd9f2198cc9535033c0c7ca2bf7cfc026fae5b52498e	-
climatebert/distilroberta-base-climate-f	e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318	full	2151871	acea8017e31bdc0763db081d17f59722e1329cbf38872139031ca4947a6d9fe3	ok	f100c455499d0f0d61efd3ed4331df25511dfb45702bc501381950149f663ba4	-
cnicu/t5-small-booksum	0169a67dc4873b529ca3612bdc9d79365632816a	full	2422193	56a048cce1b067dd8d2d04c648aa5586adcd4a140f00c6cb7b99a214a1892ab9	ok	ac9567378d9bd13ea8d4c5ed3570e3c23b7f9b1d57ad5b9096996ce56b82e47f	-
